Product_ID,Product_Name,Category,Product_Link,Discounted_Price,Actual_Price,Rating,Rating_Count,Reviewers,Reviews
B0CFPRBZYY,Trendy Queen Womens Zip Up Hoodies Long Sleeve Sweatshirts Fall Outfits Oversized Sweaters Casual Fashion Jackets,"Clothing, Shoes & Jewelry$Women",https://www.amazon.com/OQQ-Bodysuits-Strappy-Sleeveless-Control/dp/B0CFPRBZYY?ref=dlx_deals_dg_dcl_B0CFPRBZYY_dt_sl14_0b,,,4.4 out of 5,"3,508 global ratings",Amazon Customer|Amazon Customer|Heather Tardy|Heather Tardy|K Kirk|Sarah|Patti Mckown|Gabby13|DashOneCharlie|Oliver|niki|Sue MacKenzie|Niki|Shae Niehus|Shae Niehus|Marla Rosen|Dani Serson,"i adore it 💖|Well made, soft, warm for winter|Cute, the fabric is cozy, but the zipper sucks|Comfirtable|Granddaughter loves it!|Well...|Great Quality|Heavy and survived initial wash."
B0CN8YSGXH,"CRZ YOGA Men's All Day Comfy Golf Pants - 30""/32""/34"" Quick Dry Lightweight Work Casual Trousers with Pockets","Clothing, Shoes & Jewelry$Sport Specific Clothing",https://www.amazon.com/PRETTYGARDEN-Bodycon-Strapless-Elegant-Dresses/dp/B0CN8YSGXH?ref=dlx_deals_dg_dcl_B0CN8YSGXH_dt_sl14_0b,,,4.5 out of 5,"1,145 global ratings",Amazon Customer|Amazon Customer|Amazon Customer|J. Beaver|Kofi K Bell|Madison|GatorKG|stephen|Luke Kolbe|Me|Me|TeddyOctober|Mr. MOM|Sare|Amazon Customer|Dan007,"Lulu-like ABC Pants|Favorite golf pants|Very good value.|Perfect work pants!|Perfect pants for every occasion|Great pants but sizing definitely runs small|Not a Vuori dupe|Good slim fit, size runs big."
B0BHNQPXPT,DREAM PAIRS Women Chunky City Tweed Comfortable Casual Platform Fashion Sneaker,"Clothing, Shoes & Jewelry$Women",https://www.amazon.com/Afloia-Grooming-Electric-Clippers-Shedding/dp/B0BHNQPXPT?ref=dlx_deals_dg_dcl_B0BHNQPXPT_dt_sl14_0b,,,4.4 out of 5,"1,645 global ratings",Amazon Customer|Amazon Customer|Jennifer|erin|Amazon Customer|Cynthia Treadwell|Esther|Esther|MinRose|MinRose|Brenda Brown|Jennifer B.|May|NBERIONNI|Shash|Shash|Fueron XL demasiado pequeña|C Rawson,Surprisingly…|So compy|Stylish shoes|Super Cute & Affordable|Cute but LOUD|Cute and Comfy!|Stick to your normal shoe size|Super cute and comfy!
B09DPH4V6V,Garmin Instinct 2S,"Electronics$GPS, Finders & Accessories",https://www.amazon.com/Trendy-Queen-Oversized-Drawstring-sweatshirts/dp/B09DPH4V6V?ref=dlx_deals_dg_dcl_B09DPH4V6V_dt_sl14_0b,$199.99,List Price: $299.99,4.5 out of 5,"2,342 global ratings",Amazon Customer|Amazon Customer|A Reader|Jollyroger Hobbies|Cassie|Miguel A. Vergara|Amazon Customer|Eric Belanger|JUAN CARLOS CRUZ,From a smartwatch-reluctant watch collector|I love this watch!
B09YY6Q1KQ,Stone Bath Mat Diatomaceous Earth Shower Mat Stone Super Absorbent Diatomite Stone Bath Mats for Bathroom Quick-Drying Non-Slip Barhroom Floor Mat,Home & Kitchen$Bath,https://www.amazon.com/CRZ-YOGA-All-Day-Comfort-Pants/dp/B09YY6Q1KQ?ref=dlx_deals_dg_dcl_B09YY6Q1KQ_dt_sl14_0b,$29.98,List Price $199.99,4.5 out of 5,"1,242 global ratings","Amazon Customer|Amazon Customer|cperez|Kindle Customer|Andrew Figgy|Andrew Figgy|Luke|Luke|Josiah|Josiah|Emily Greene|Emily Greene|Kristie|GK|Buyer from Mexico|Lu|Rumbidzai|Madhooree Rowjee|Madhooree Rowjee|Buen producto , me encanto llega rápido y buen estado recomendado","Good Shower Mat|The Stone Bath Mat That Changed My Bathroom Experience!|Very useful and innovative!|Soaks up water VERY well, few minor flaws|Smaller Than I Expected|AMAZING!|Amazing product!|Easy to Use"
B0CDBVHNWN,CQR Men's All Cotton Flannel Shirt,"Clothing, Shoes & Jewelry$Men",https://www.amazon.com/DREAM-PAIRS-Sneakers-Comfortable-SDFN2379W/dp/B0CDBVHNWN?ref=dlx_deals_dg_dcl_B0CDBVHNWN_dt_sl14_0b,,,4.6 out of 5,"21,825 global ratings",Amazon Customer|E. Evans|julia|Scott Wilson|Dr Fumbls|foxmuse47|Jeo|jon|Amazon Customer|Uncle Red|Velon|fourteen angry acorns|Chris Beretta|MartinF,"Very nice|great shirt!|Follow-Up Review|Best flannels on Amazon for price/function|Great shirt!|Soft, warm, quality|love this fit, the style, have bought a few|Quality Flannel Shirt!"
B09NMK33N8,Bedsure Sherpa Fleece Blankets Queen Size for Bed - Thick and Warm Blanket for Winter,Home & Kitchen$Bedding,https://www.amazon.com/Garmin-Instinct-Smaller-Sized-Multi-GNSS-Tracback/dp/B09NMK33N8?ref=dlx_deals_dg_dcl_B09NMK33N8_dt_sl14_0b,$33.99,List Price $51.99,4.7 out of 5,"85,416 global ratings",Amazon Customer|Amazon Customer|Juliet|Laura|Margaret McClellan|Judy Wolbrecht|Hadid Muhammad|Mellissa McKinney|Amazon Customer|Salaama Wadud|diane|Valeria|Liz|Luli|Andrea Ayala,"This blanket should come with a warning label!|Everyone loves this blanket|Lightweight yet warm, soft and lovely|I really like it.|Fantastic Cozy Blanket!|This is a new product for me and my son|Navy Sherpa tgrow|“Perfect Blank for Any Temperature”"
B0CGHLRV9K,Bedsure Queen Size Comforter Sets,Home & Kitchen$Bedding,https://www.amazon.com/ZIKIBL-Diatomaceous-Absorbent-Diatomite-Quick-Drying/dp/B0CGHLRV9K?ref=dlx_deals_dg_dcl_B0CGHLRV9K_dt_sl14_0b,$29.99,List Price: $43.99,4.5 out of 5,"1,059 global ratings",Amazon Customer|Amazon Customer|Shellaney Moyer|Amazon Customer|Amazon Customer|LK|Raenah Morrison|Raenah Morrison|Laura Souda|Laura Souda|Tifany Painter|Erin|Erin,It’s a dream|Super soft and great for the price.|Super cozy !!|Comfortable|Very pretty (exactly as pictured)|Soft and do not keep you too hot or cold|Soft and durable|Love
B07MLL1D6L,CHYRII Womens Button Down Flannel Shirts Long Sleeve Plaid Shackets Business Casual Blouse Top,"Clothing, Shoes & Jewelry$Women",https://www.amazon.com/CQR-Flannel-Sleeved-Button-Up-All-Cotton/dp/B07MLL1D6L?ref=dlx_deals_dg_dcl_B07MLL1D6L_dt_sl14_0b,,,4.3 out of 5,"1,932 global ratings",Amazon Customer|Amazon Customer|StarryEyesSmith|Teach_Me|Sheila Frattone|Steady Customer|Mamakitty|Pearlymom|Ann|joan,"Nicely made, very pretty color|So soft!!|Soft and comfy|Love It!|Great flannel shirt|Runs really BIG!|Cozy|Great color and great fit"
B0D1Y75B7B,Living Room Rug 6x9 Rug Machine Washable Boho Area Rug Non Slip Floral Vintage Low Pile Large Rug for Living Room,Home & Kitchen$Home Décor Products,https://www.amazon.com/Bedsure-Sherpa-Fleece-Blankets-Queen/dp/B0D1Y75B7B?ref=dlx_deals_dg_dcl_B0D1Y75B7B_dt_sl14_0b,$103.99,List Price: $129.99,4.2 out of 5,638 global ratings,Amazon Customer|Amazon Customer|Julie P|Julie P|Em|Em|Anna V. Carroll|Amazon Customer|Carol M. Mills|Sabrina Bundrick|Cari L.|LD Clark,"Soft yet durable|Beautiful rug!|Vibrant Colors Light Up My Kitchen!|Beautiful, bright colors and super soft|An extraordinary rug!!!|CUTE & SOFT|Love it! May order another one too|It's the pop of color I needed"
